host_id,host_url,host_name,id,latitude,longitude,number_of_reviews,price,property_type,thumbnail_url,listing_url,host_picture_url,host_is_superhost,host_identity_verified
48239,https://www.airbnb.com/users/show/48239,Rona,12604,43.66724,-79.41598,0,$67.00,House,,https://www.airbnb.com/rooms/12604,https://a0.muscache.com/im/users/48239/profile_pic/1335748210/original.jpg?aki_policy=profile_x_medium,f,t
22795,https://www.airbnb.com/users/show/22795,Kathie & Larry,30931,43.64151,-79.37643,1,$134.00,Apartment,,https://www.airbnb.com/rooms/30931,https://a0.muscache.com/im/pictures/9a077853-cb8c-49aa-91b4-d1bbd6b220a0.jpg?aki_policy=profile_x_medium,f,f
187320,https://www.airbnb.com/users/show/187320,Downtown Suite Living,57483,43.642140000000005,-79.37994,0,$177.00,Condominium,,https://www.airbnb.com/rooms/57483,https://a0.muscache.com/im/users/187320/profile_pic/1444258888/original.jpg?aki_policy=profile_x_medium,t,t
187320,https://www.airbnb.com/users/show/187320,Downtown Suite Living,63395,43.645270000000004,-79.37615,1,$141.00,Apartment,,https://www.airbnb.com/rooms/63395,https://a0.muscache.com/im/users/187320/profile_pic/1444258888/original.jpg?aki_policy=profile_x_medium,t,t
812294,https://www.airbnb.com/users/show/812294,Joseph,171318,43.763290000000005,-79.41105,0,$50.00,Condominium,,https://www.airbnb.com/rooms/171318,https://a0.muscache.com/im/users/812294/profile_pic/1359463189/original.jpg?aki_policy=profile_x_medium,f,t
545074,https://www.airbnb.com/users/show/545074,Sohail,179578,43.78076,-79.24788000000001,0,$80.00,Condominium,,https://www.airbnb.com/rooms/179578,https://a0.muscache.com/im/pictures/cfae1b2c-32e3-4cab-ac87-c46d5c566bff.jpg?aki_policy=profile_x_medium,f,f
206755,https://www.airbnb.com/users/show/206755,Amir,184097,43.69654,-79.39468000000001,0,$149.00,Condominium,,https://www.airbnb.com/rooms/184097,https://a0.muscache.com/im/users/206755/profile_pic/1379522145/original.jpg?aki_policy=profile_x_medium,f,t
519337,https://www.airbnb.com/users/show/519337,Karie,196360,43.64217,-79.42848000000001,1,$48.00,Condominium,,https://www.airbnb.com/rooms/196360,https://a0.muscache.com/im/users/519337/profile_pic/1328936004/original.jpg?aki_policy=profile_x_medium,f,t
1210571,https://www.airbnb.com/users/show/1210571,Jaclyn,231530,43.66823,-79.43594,0,$100.00,Apartment,,https://www.airbnb.com/rooms/231530,https://a0.muscache.com/im/users/1210571/profile_pic/1386098699/original.jpg?aki_policy=profile_x_medium,f,f
1408862,https://www.airbnb.com/users/show/1408862,Dale,268888,43.6879,-79.35268,0,$75.00,Condominium,,https://www.airbnb.com/rooms/268888,https://a0.muscache.com/im/users/1408862/profile_pic/1321371953/original.jpg?aki_policy=profile_x_medium,f,f
1411076,https://www.airbnb.com/users/show/1411076,Adam,269355,43.68436,-79.40053,0,$201.00,Apartment,,https://www.airbnb.com/rooms/269355,https://a0.muscache.com/im/users/1411076/profile_pic/1321411499/original.jpg?aki_policy=profile_x_medium,f,f
1409872,https://www.airbnb.com/users/show/1409872,Ravish,273304,43.6605,-79.38056999999999,0,$178.00,Apartment,,https://www.airbnb.com/rooms/273304,https://a0.muscache.com/im/pictures/55cfee47-a7c8-4470-91f4-9373ebd01f6c.jpg?aki_policy=profile_x_medium,f,t
1664812,https://www.airbnb.com/users/show/1664812,Mark,325432,43.66205,-79.4561,0,$260.00,House,,https://www.airbnb.com/rooms/325432,https://a0.muscache.com/im/users/1664812/profile_pic/1327775021/original.jpg?aki_policy=profile_x_medium,f,f
1828773,https://www.airbnb.com/users/show/1828773,Silvana,361831,43.778729999999996,-79.41245,0,$141.00,Apartment,,https://www.airbnb.com/rooms/361831,https://a0.muscache.com/im/users/1828773/profile_pic/1330491234/original.jpg?aki_policy=profile_x_medium,f,f
1816495,https://www.airbnb.com/users/show/1816495,Katharine,363057,43.67113,-79.29839,1,$299.00,House,,https://www.airbnb.com/rooms/363057,https://a0.muscache.com/im/users/1816495/profile_pic/1405397556/original.jpg?aki_policy=profile_x_medium,f,f
1843167,https://www.airbnb.com/users/show/1843167,Katie,365021,43.714529999999996,-79.40563,1,$84.00,Bed and breakfast,,https://www.airbnb.com/rooms/365021,https://a0.muscache.com/im/pictures/user/1f5d3626-16ae-4a87-9918-483c619f2ef6.jpg?aki_policy=profile_x_medium,f,f
1903033,https://www.airbnb.com/users/show/1903033,Christie,379133,43.67423,-79.37028000000001,1,$650.00,House,,https://www.airbnb.com/rooms/379133,https://a0.muscache.com/im/pictures/user/54deddab-2dc6-4592-9a03-fc84f08c32ff.jpg?aki_policy=profile_x_medium,f,t
1923052,https://www.airbnb.com/users/show/1923052,Justin,384549,43.671440000000004,-79.37685,0,$66.00,House,,https://www.airbnb.com/rooms/384549,https://a0.muscache.com/im/users/1923052/profile_pic/1331784993/original.jpg?aki_policy=profile_x_medium,f,f
2064477,https://www.airbnb.com/users/show/2064477,David,415104,43.76248,-79.40904,0,$179.00,Condominium,,https://www.airbnb.com/rooms/415104,https://a0.muscache.com/im/pictures/user/3ff5645d-ed9f-4d65-bc0f-d24181804466.jpg?aki_policy=profile_x_medium,f,t
2064477,https://www.airbnb.com/users/show/2064477,David,415110,43.64235,-79.39084,0,$225.00,Condominium,,https://www.airbnb.com/rooms/415110,https://a0.muscache.com/im/pictures/user/3ff5645d-ed9f-4d65-bc0f-d24181804466.jpg?aki_policy=profile_x_medium,f,t
2064477,https://www.airbnb.com/users/show/2064477,David,415111,43.76095,-79.40969,0,$250.00,Apartment,,https://www.airbnb.com/rooms/415111,https://a0.muscache.com/im/pictures/user/3ff5645d-ed9f-4d65-bc0f-d24181804466.jpg?aki_policy=profile_x_medium,f,t
200354,https://www.airbnb.com/users/show/200354,Ayla,447884,43.656459999999996,-79.4031,1,$200.00,House,,https://www.airbnb.com/rooms/447884,https://a0.muscache.com/im/pictures/78a6c770-ea86-4e48-bc0b-8e6f373cdbaa.jpg?aki_policy=profile_x_medium,f,t
2291374,https://www.airbnb.com/users/show/2291374,Daniel,460994,43.66883,-79.38365,0,$201.00,Apartment,,https://www.airbnb.com/rooms/460994,https://a0.muscache.com/im/users/2291374/profile_pic/1336151839/original.jpg?aki_policy=profile_x_medium,f,f
1132399,https://www.airbnb.com/users/show/1132399,Unal,492082,43.667359999999995,-79.38013000000001,1,$68.00,Bed and breakfast,,https://www.airbnb.com/rooms/492082,https://a0.muscache.com/im/users/1132399/profile_pic/1328075071/original.jpg?aki_policy=profile_x_medium,t,t
2432916,https://www.airbnb.com/users/show/2432916,Denise,493281,43.67775,-79.42171,0,$75.00,House,,https://www.airbnb.com/rooms/493281,https://a0.muscache.com/im/users/2432916/profile_pic/1337694244/original.jpg?aki_policy=profile_x_medium,f,f
2449438,https://www.airbnb.com/users/show/2449438,Greg,495965,43.64278,-79.41018000000001,0,$70.00,Apartment,,https://www.airbnb.com/rooms/495965,https://a0.muscache.com/im/users/2449438/profile_pic/1337812367/original.jpg?aki_policy=profile_x_medium,f,f
